Gene,Sign,locus
bglB,-,b3721
bglF,-,b3722
bglG,+,b3723
bglB,+,b3721
bglF,+,b3722
bglG,+,b3723
bglG,+,b3723
bhsA,-,b1112
bhsA,-,b1112
bioA,-,b0774
bioB,-,b0775
bioF,-,b0776
bioC,-,b0777
bioD,-,b0778
bluF,+,b1163
bluF,+,b1163
bolA,-,b0435
bolA,-,b0435
bolA,+,b0435
bolA,-,b0435
bolA,-,b0435
borD,+,b0557
bssS,+,b1060
murI,-,b3967
btuB,-,b3966
murI,-,b3967
btuB,-,b3966
murI,-,b3967
btuB,-,b3966
cadA,+,b4131
cadB,+,b4132
cadA,+,b4131
cadB,+,b4132
cadA,-,b4131
cadB,-,b4132
cadA,+,b4131
cadB,+,b4132
cadA,-,b4131
cadB,-,b4132
cadA,-,b4131
cadB,-,b4132
cadA,-,b4131
cadB,-,b4132
cadA,-,b4131
cadB,-,b4132
cadA,-,b4131
cadB,-,b4132
cadA,+,b4131
cadB,+,b4132
cadA,-,b4131
cadB,-,b4132
cadA,+,b4131
cadB,+,b4132
cadC,+,b4133
cadC,+,b4133
cadC,+,b4133
cadC,-,b4133
cadC,-,b4133
cadC,-,b4133
caiF,+,b0034
caiF,+,b0034
caiF,-,b0034
caiF,-,b0034
caiE,+,b0035
caiD,+,b0036
caiC,+,b0037
caiB,+,b0038
caiA,+,b0039
caiT,+,b0040
caiE,+,b0035
caiD,+,b0036
caiC,+,b0037
caiB,+,b0038
caiA,+,b0039
caiT,+,b0040
caiE,+,b0035
caiD,+,b0036
caiC,+,b0037
caiB,+,b0038
caiA,+,b0039
caiT,+,b0040
caiE,+,b0035
caiD,+,b0036
caiC,+,b0037
caiB,+,b0038
caiA,+,b0039
caiT,+,b0040
caiE,+,b0035
caiD,+,b0036
caiC,+,b0037
caiB,+,b0038
caiA,+,b0039
caiT,+,b0040
caiE,+,b0035
caiD,+,b0036
caiC,+,b0037
caiB,+,b0038
caiA,+,b0039
caiT,+,b0040
caiE,+,b0035
caiD,+,b0036
caiC,+,b0037
caiB,+,b0038
caiA,+,b0039
caiT,+,b0040
caiE,+,b0035
caiD,+,b0036
caiC,+,b0037
caiB,+,b0038
caiA,+,b0039
caiT,+,b0040
caiE,+,b0035
caiD,+,b0036
caiC,+,b0037
caiB,+,b0038
caiA,+,b0039
caiT,+,b0040
caiE,+,b0035
caiD,+,b0036
caiC,+,b0037
caiB,+,b0038
caiA,+,b0039
caiT,+,b0040
caiE,+,b0035
caiD,+,b0036
caiC,+,b0037
caiB,+,b0038
caiA,+,b0039
caiT,+,b0040
caiE,-,b0035
caiD,-,b0036
caiC,-,b0037
caiB,-,b0038
caiA,-,b0039
caiT,-,b0040
carA,-,b0032
carB,-,b0033
carA,-,b0032
carB,-,b0033
carA,+,b0032
carB,+,b0033
carA,+,b0032
carB,+,b0033
carA,+,b0032
carB,+,b0033
carA,-,b0032
carB,-,b0033
carA,+,b0032
carB,+,b0033
carA,+,b0032
carB,+,b0033
carA,-,b0032
carB,-,b0033
carA,-,b0032
carB,-,b0033
carA,-,b0032
carB,-,b0033
cas3,+,b2761
casA,-,b2760
casB,-,b2759
casC,-,b2758
casD,-,b2757
casE,-,b2756
cas1,-,b2755
cas2,-,b2754
casA,-,b2760
casB,-,b2759
casC,-,b2758
casD,-,b2757
casE,-,b2756
cas1,-,b2755
cas2,-,b2754
casA,+,b2760
casB,+,b2759
casC,+,b2758
casD,+,b2757
casE,+,b2756
cas1,+,b2755
cas2,+,b2754
casA,+,b2760
casB,+,b2759
casC,+,b2758
casD,+,b2757
casE,+,b2756
cas1,+,b2755
cas2,+,b2754
casA,+,b2760
casB,+,b2759
casC,+,b2758
casD,+,b2757
casE,+,b2756
cas1,+,b2755
cas2,+,b2754
casA,+,b2760
casB,+,b2759
casC,+,b2758
casD,+,b2757
casE,+,b2756
cas1,+,b2755
cas2,+,b2754
casA,+,b2760
casB,+,b2759
casC,+,b2758
casD,+,b2757
casE,+,b2756
cas1,+,b2755
cas2,+,b2754
casA,+,b2760
casB,+,b2759
casC,+,b2758
casD,+,b2757
casE,+,b2756
cas1,+,b2755
cas2,+,b2754
cbl,+,b1987
cbpM,-,b0999
cbpA,-,b1000
cbpM,-,b0999
cbpA,-,b1000
cbpM,-,b0999
cbpA,-,b1000
cdaR,+,b0162
cdd,+,b2143
cdd,-,b2143
cdd,-,b2143
cdd,+,b2143
cdd,-,b2143
cdd,-,b2143
cdd,-,b2143
cecR,-,b0796
ybhG,-,b0795
ybhF,-,b0794
ybhS,-,b0793
ybhR,-,b0792
cfa,+,b1661
chaC,+,b1218
chbG,+,b1733
chbF,+,b1734
chbR,+,b1735
chbA,+,b1736
chbC,+,b1737
chbB,+,b1738
chbG,+,b1733
chbF,+,b1734
chbR,+,b1735
chbA,+,b1736
chbC,+,b1737
chbB,+,b1738
chbG,+,b1733
chbF,+,b1734
chbR,+,b1735
chbA,+,b1736
chbC,+,b1737
chbB,+,b1738
chbG,-,b1733
chbF,-,b1734
chbR,-,b1735
chbA,-,b1736
chbC,-,b1737
chbB,-,b1738
chbG,-,b1733
chbF,-,b1734
chbR,-,b1735
chbA,-,b1736
chbC,-,b1737
chbB,-,b1738
chbG,-,b1733
chbF,-,b1734
chbR,-,b1735
chbA,-,b1736
chbC,-,b1737
chbB,-,b1738
chbG,-,b1733
chbF,-,b1734
chbR,-,b1735
chbA,-,b1736
chbC,-,b1737
chbB,-,b1738
chiA,-,b3338
chiZ,+,b4808
chiQ,+,b0682
chiP,+,b0681
chiZ,-,b4808
chiQ,-,b0682
chiP,-,b0681
chiZ,-,b4808
chiQ,-,b0682
chiP,-,b0681
cho,-,b1741
cirA,+,b2155
cirA,-,b2155
cirA,-,b2155
cirA,-,b2155
cirA,-,b2155
cirA,+,b2155
cirA,-,b2155
cirA,-,b2155
cirA,-,b2155
citC,-,b0618
citD,-,b0617
citE,-,b0616
citF,-,b0615
citX,-,b0614
citG,-,b0613
citC,+,b0618
citD,+,b0617
citE,+,b0616
citF,+,b0615
citX,+,b0614
citG,+,b0613
citC,+,b0618
citD,+,b0617
citE,+,b0616
citF,+,b0615
citX,+,b0614
citG,+,b0613
citC,+,b0618
citD,+,b0617
citE,+,b0616
citF,+,b0615
citX,+,b0614
citG,+,b0613
citG,-,b0613
citX,-,b0614
citF,-,b0615
citE,-,b0616
citD,-,b0617
citC,-,b0618
citG,+,b0613
citX,+,b0614
citF,+,b0615
citE,+,b0616
citD,+,b0617
citC,+,b0618
citG,+,b0613
citX,+,b0614
citF,+,b0615
citE,+,b0616
citD,+,b0617
citC,+,b0618
citG,+,b0613
citX,+,b0614
citF,+,b0615
citE,+,b0616
citD,+,b0617
citC,+,b0618
citG,-,b0613
citX,-,b0614
citF,-,b0615
citE,-,b0616
citD,-,b0617
citC,-,b0618
citG,-,b0613
citX,-,b0614
citF,-,b0615
citE,-,b0616
citD,-,b0617
citC,-,b0618
clpS,-,b0881
mukB,+,b0924
mukE,+,b0923
mukF,+,b0922
cmoM,+,b0921
codB,+,b0336
codA,+,b0337
codB,-,b0336
codA,-,b0337
comR,-,b1111
copA,+,b0484
cpdB,+,b4213
cpxQ,+,b4716
cpxP,+,b4484
cpxQ,+,b4716
cpxP,+,b4484
cpxQ,+,b4716
cpxP,+,b4484
cpxA,+,b3911
cpxR,+,b3912
cpxA,+,b3911
cpxR,+,b3912
cpxA,+,b3911
cpxR,+,b3912
cpxA,+,b3911
cpxR,+,b3912
creA,-,b4397
creB,-,b4398
creC,-,b4399
creD,-,b4400
creD,+,b4400
,-,"In SUBSEQ, `end' (3) is beyond the end of the sequence (0)."
,-,"In SUBSEQ, `end' (3) is beyond the end of the sequence (0)."
,+,"In SUBSEQ, `end' (3) is beyond the end of the sequence (0)."
crp,+,b3357
crp,-,b3357
crp,+,b3357
crp,-,b3357
crp,-,b3357
crp,-,b3357
crp,-,b3357
crp,-,b3357
crp,-,b3357
crp,-,b3357
crp,-,b3357
crp,-,b3357
crp,-,b3357
crp,-,b3357
crp,-,b3357
crp,-,b3357
csgA,+,b1042
csgC,-,b1043
csgB,-,b1041
csgA,-,b1042
csgC,-,b1043
csgB,-,b1041
csgA,-,b1042
csgC,-,b1043
csgB,-,b1041
csgA,-,b1042
csgC,+,b1043
csgB,+,b1041
csgA,+,b1042
csgC,+,b1043
csgB,+,b1041
csgA,+,b1042
csgC,+,b1043
csgB,+,b1041
csgA,+,b1042
csgC,+,b1043
csgB,+,b1041
csgA,+,b1042
csgC,-,b1043
csgB,-,b1041
csgA,-,b1042
csgC,-,b1043
csgB,-,b1041
csgA,-,b1042
csgC,-,b1043
csgB,-,b1041
csgA,-,b1042
csgC,-,b1043
csgB,-,b1041
csgA,-,b1042
csgC,-,b1043
csgB,-,b1041
csgA,-,b1042
csgC,+,b1043
csgB,+,b1041
